2020-04-23 11:06:46 status installed libbz2-1.0:amd64 1.0.8-2
2020-04-23 11:06:46 configure base-passwd:amd64 3.5.47 <none>
2020-04-23 11:06:46 status unpacked base-passwd:amd64 3.5.47
2020-04-23 11:06:46 status half-configured base-passwd:amd64 3.5.47
2020-04-23 11:06:46 status installed base-passwd:amd64 3.5.47
2020-04-23 11:06:46 configure libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2 <none>
2020-04-23 11:06:46 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2020-04-23 11:06:46 status half-configured libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2020-04-23 11:06:46 status installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2020-04-23 11:06:46 configure libblkid1:amd64 2.34-0.1ubuntu9 <none>
